title,year,rating,dubious,imdbid,id,submitterid,date,visible
Un bon bock,1892,0,0.0,4,9631,18914,2021-04-08 0:25,1
Le clown et ses chiens,1892,0,0.0,2,9632,18915,2021-04-09 1:16,1
Fencing,1892,0,0.0,241446,9951,19360,2021-07-09 17:38,1
Le prince de Galles,1892,0,0.0,234520,9952,19361,2021-07-09 17:40,1
Wrestling,1892,0,0.0,242148,9948,19353,2021-07-07 12:02,1
Boxing,1892,0,0.0,241266,9986,19408,2021-07-27 1:30,1
Blacksmith Scene,1893,0,0.0,5,9583,18852,2021-03-24 20:33,1
Annabelle Butterfly Dance,1894,0,0.0,229217,9636,18919,2021-04-10 0:22,1
Edison Kinetoscope Records: Annie Oakley,1894,0,0.0,8419312,9642,18926,2021-04-10 22:06,1
Autour d&#39;une cabine,1894,0,0.0,15,9646,18934,2021-04-11 20:03,1
"Barbershop, The",1894,0,0.0,229235,9648,18938,2021-04-13 1:50,1
Bucking Broncho,1894,0,0.0,309396,9649,18940,2021-04-14 20:08,1
Buffalo Dance,1894,0,0.0,309402,9650,18944,2021-04-16 1:19,1
Carmencita,1894,0,0.0,1,9651,18947,2021-04-16 20:53,1
Edison Kinetoscopic Record of a Sneeze,1894,0,0.0,8,9652,18948,2021-04-17 0:03,1
Dickson Experimental Sound Film,1894,0,0.0,177707,9654,18951,2021-04-18 0:25,1
Chinese Opium Den,1894,0,0.0,6,9655,18953,2021-04-18 2:39,1
Corbett and Courtney Before the Kinetograph,1894,0,0.0,7,9656,18955,2021-04-18 18:46,1
Falling Cat,1894,0,0.0,2049440,9662,18965,2021-04-20 0:15,1
"Glenroy Bros., No. 2",1894,0,0.0,312728,9663,18967,2021-04-21 1:31,1
Glenroy Brothers,1894,0,0.0,256782,9664,18968,2021-04-21 1:32,1
Leonard-Cushing Fight,1894,0,0.0,203646,9668,18972,2021-04-21 23:33,1
"Luis Martinetti, Contortionist",1894,0,0.0,277115,9671,18977,2021-04-23 2:54,1
Sandow No. 2,1894,0,0.0,2161519,9673,18979,2021-04-23 17:05,1
Sandow No. 3,1894,0,0.0,2161521,9674,18980,2021-04-23 17:05,1
Reve au coin du feu,1894,0,0.0,413219,9681,18994,2021-04-26 1:08,1
Miss Jerry,1894,0,0.0,9,9779,19100,2021-05-02 1:59,1
Tables Turned on the Gardener,1895,0,0.0,14,5444,10070,2014-05-04 13:11,1
"Execution of Mary, Queen of Scots, The",1895,0,0.0,132134,6200,11867,2015-04-13 1:54,1
Akrobatisches Potpourri,1895,1,1.0,11,9679,18987,2021-04-24 19:08,1
Annabelle Serpentine Dance,1895,0,0.0,154152,9683,18996,2021-04-26 21:59,1
Italienischer Bauerntanz,1895,0,0.0,17,9714,19028,2021-04-29 1:31,1
Baby&#39;s Dinner,1895,1,1.0,29,9715,19029,2021-04-29 1:35,1
Billy Edwards and the Unknown,1895,0,0.0,477266,9766,19084,2021-04-30 23:25,1
Blacksmith Scene,1895,0,0.0,22,9767,19085,2021-04-30 23:27,1
Barque sortant du port,1895,0,0.0,16,9787,19108,2021-05-03 0:29,1
"House of the Devil, The",1896,0,0.0,91,4982,9025,2013-12-25 14:31,1
Une nuit terrible,1896,0,0.0,131,5406,9969,2014-04-20 2:04,1
La fee aux choux,1896,0,0.0,223341,5445,10071,2014-05-04 13:18,1
"Arrival of a Train, The",1896,0,0.0,12,6199,11866,2015-04-13 1:53,1
Sandow,1896,0,0.0,1428455,9672,18978,2021-04-23 17:04,1
Alger: rue Bab-Azoun,1896,0,0.0,1672718,9949,19355,2021-07-09 2:49,1
Lassage des boeufs pour le labour,1896,0,0.0,1736599,9950,19356,2021-07-09 2:51,1
Lancement d&#39;un navire,1896,0,0.0,222137,9901,19288,2021-06-18 1:19,1
Bataille de neige,1897,0,0.0,41,9328,18427,2020-11-13 18:26,1
Four Heads Are Better Than One,1898,0,0.0,135696,4978,9021,2013-12-24 19:58,1
"Astronomer&#39;s Dream; or, The Man in the Moon, The",1898,0,0.0,211,5410,9985,2014-04-22 1:30,1
"Temptation of St. Anthony, The",1898,0,0.0,224240,5411,9986,2014-04-22 1:55,1
A Turn of the Century Illusionist,1899,0,0.0,246,4994,9040,2013-12-26 20:42,1
Cinderella,1899,3,0.0,230,5914,11200,2014-11-12 6:46,1
Sherlock Holmes Baffled,1900,0,0.0,291476,1594,1939,2010-09-22 16:36,1
"Enchanted Drawing, The",1900,0,0.0,300,4271,7496,2013-06-26 10:38,1
Grandma&#39;s Reading Glass,1900,0,0.0,304,4343,7699,2013-07-13 2:47,1
As Seen Through A Telescope (a.k.a The Professor and His Field Glass),1900,0,0.0,272,4344,7700,2013-07-13 2:54,1
Explosion of a Motor Car (a.k.a The Dlights of Automobiling),1900,0,0.0,257654,4345,7701,2013-07-13 3:02,1
Hamlet ( Le Duel d&#39;Hamlet),1900,0,0.0,306,4346,7702,2013-07-13 3:10,1
"One-Man Band, The",1900,0,0.0,135453,4993,9039,2013-12-26 20:40,1
Grandma Threading Her Needle,1900,0,0.0,377995,5069,9208,2014-01-14 1:17,1
"Searching Ruins on Broadway, Galveston, for Dead Bodies",1900,0,0.0,230746,5072,9212,2014-01-14 6:24,1
Let Me Dream Again,1900,0,0.0,313,5438,10059,2014-05-03 18:33,1
"Doctor and the Monkey, The",1900,0,0.0,227438,5446,10072,2014-05-04 13:37,1
L&#39;homme a la tete en caoutchouc,1901,0,0.0,359,4995,9041,2013-12-26 20:47,1
Reve et realite,1901,0,0.0,258104,5437,10058,2014-05-03 18:31,1
Bluebeard,1901,0,0.0,131934,5500,10200,2014-05-26 0:31,1
Le voyage dans la lune,1902,0,0.0,417,1252,1353,2010-07-23 0:26,1
Gulliver&#39;s Travels,1902,0,0.0,229024,5431,10042,2014-05-02 9:44,1
"Twentieth Century Tramp; or, Happy Hooligan and His Airship, The",1902,0,0.0,367177,5432,10043,2014-05-02 9:52,1
Mephistopheles&#39; School of Magic,1902,0,0.0,413,5443,10069,2014-05-04 13:03,1
"Great Train Robbery, The",1903,0,0.0,439,1319,1433,2010-07-25 9:05,1
"Infernal Boiling Pot, The",1903,0,0.0,135180,5002,9054,2013-12-28 21:28,1
"Music Lover, The",1903,0,0.0,455,5063,9189,2014-01-12 0:18,1
"Monster, The",1903,0,0.0,223755,5064,9190,2014-01-12 0:22,1
"Enchanted Well, The",1903,0,0.0,189498,5683,10664,2014-08-09 2:12,1
"Cook in Trouble, The",1904,0,0.0,215664,5224,9571,2014-03-03 18:13,1
"Living Playing Cards, The",1904,0,0.0,135179,5404,9967,2014-04-20 1:53,1
"Untamable Whiskers, The",1904,0,0.0,135631,5601,10460,2014-06-29 17:15,1
Le voyage a travers l&#39;impossible,1904,0,0.0,499,6135,11712,2015-03-07 23:28,1
"Scheming Gambler&#39;s Paradise, The",1905,0,0.0,135690,5003,9056,2013-12-28 21:35,1
"Black Imp, The",1905,0,0.0,215575,5602,10461,2014-06-29 17:41,1
"Story of the Kelly Gang, The",1906,1,0.0,574,1349,1469,2010-07-26 21:01,1
"Mysterious Retort, The",1906,0,0.0,216016,5024,9087,2014-01-01 21:29,1
Humorous Phases of Funny Faces,1906,0,0.0,554,5435,10054,2014-05-03 9:39,1
"Hilarious Posters, The",1906,0,0.0,135122,5603,10462,2014-06-30 1:06,1
"400 Tricks of the Devil, The",1906,0,0.0,567,5684,10665,2014-08-09 2:46,1
A Funny Shave,1906,0,0.0,449172,6206,11881,2015-04-16 0:37,1
"Consequence of Feminism, The",1906,0,0.0,1260944,7215,14129,2016-10-19 17:33,1
"Eclipse: Courtship of the Sun and Moon, The",1907,0,0.0,215737,5223,9570,2014-03-03 18:06,1
Good Glue Sticks,1907,0,0.0,215817,5615,10489,2014-07-06 1:37,1
Unusual Cooking,1908,0,0.0,1802750,6231,11945,2015-05-04 1:25,1
"Princess Nicotine; or, The Smoke Fairy",1909,2,1.0,1009,4409,7862,2013-07-28 12:00,1
"Devilish Tenant, The",1909,0,0.0,127948,5635,10531,2014-07-14 1:23,1
Le barometre de la fidelite,1909,1,0.0,277596,6211,11894,2015-04-19 20:26,1
Tilly the Tomboy Visits the Poor,1910,3,0.0,232821,1464,1685,2010-08-11 21:09,1
Mobilier fidele,1910,0,0.0,486978,4983,9026,2013-12-25 14:38,1
A Trip to Mars,1910,0,0.0,1515725,5685,10666,2014-08-09 3:17,1
Cleopatra,1912,2,0.0,2101,2003,2676,2011-02-07 6:12,1
"Invaders, The",1912,0,0.0,2281,2005,2682,2011-02-08 1:32,1
Max and the Donkey,1912,0,0.0,277865,5357,9825,2014-04-03 12:51,1
"Voyage of the Bourrichon Family, The",1913,0,0.0,3512,5364,9843,2014-04-04 21:52,1
Suspense,1913,0,0.0,3424,5915,11201,2014-11-12 6:50,1
A Florida Enchantment,1914,2,1.0,3973,4457,7991,2013-08-10 5:01,1
"Birth of a Nation, The",1915,2,0.0,4972,1258,1359,2010-07-23 0:46,1
Gretchen the Greenhorn,1916,3,0.0,6745,2008,2685,2011-02-08 6:49,1
Lady Windermere&#39;s Fan,1916,3,0.0,279914,2014,2691,2011-02-10 7:06,1
"Vagabond, The",1916,0,0.0,7507,5368,9856,2014-04-07 7:12,1
Intolerance: Love&#39;s Struggle Throughout the Ages,1916,0,0.0,6864,5944,11260,2014-11-24 21:07,1
Snow White,1916,3,0.0,7361,7004,13773,2016-07-28 10:24,1
A Tale of Two Cities,1917,3,0.0,8652,1981,2646,2011-02-04 19:35,1
Rebecca of Sunnybrook Farm,1917,3,0.0,8499,1993,2661,2011-02-05 20:38,1
"Poor Little Rich Girl, The",1917,3,0.0,8443,1994,2663,2011-02-05 22:14,1
A Romance of the Redwoods,1917,0,0.0,8519,2015,2692,2011-02-10 7:07,1
"Raffles, the Amateur Cracksman",1917,2,1.0,8489,2019,2700,2011-02-11 21:49,1
Tarzan of the Apes,1918,3,0.0,9682,1996,2665,2011-02-05 23:23,1
Stella Maris,1918,3,0.0,9652,2007,2684,2011-02-08 6:03,1
Are Crooks Dishonest?,1918,0,0.0,8844,5441,10067,2014-05-04 12:57,1
Ich mochte kein Mann sein,1918,3,1.0,10281,7108,13950,2016-09-08 21:11,1
When the Clouds Roll by,1919,3,1.0,10879,2018,2699,2011-02-11 21:47,1
Broken Blossoms or The Yellow Man and the Girl,1919,0,0.0,9968,2588,3874,2011-08-02 2:19,1
"Cabinet of Dr. Caligari, The",1920,0,0.0,10323,1306,1420,2010-07-25 8:41,1
Pollyanna,1920,3,0.0,11588,1991,2659,2011-02-05 19:26,1
Within Our Gates,1920,3,0.0,11870,5948,11272,2014-11-26 18:13,1
Orphans of the Storm,1921,3,0.0,12532,1263,1364,2010-07-23 0:52,1
"Kid, The",1921,0,0.0,12349,3945,6689,2013-03-01 8:25,1
"Blot, The",1921,3,0.0,11979,4204,7322,2013-06-04 13:54,1
K&ouml;rkarlen (The Phantom Carriage),1921,2,0.0,12364,5898,11161,2014-11-04 10:56,1
"Nosferatu, eine Symphonie des Grauens",1922,2,0.0,13442,1307,1421,2010-07-25 8:43,1
"Phantom, The",1922,2,0.0,13496,1631,2004,2010-10-04 6:22,1
Nathan der Weise,1922,2,0.0,13428,1778,2260,2010-11-25 20:51,1
"Man from Beyond, The",1922,1,0.0,13367,2001,2674,2011-02-07 4:38,1
H&auml;xan: Witchcraft Through the Ages,1922,3,0.0,13257,3800,6323,2013-01-03 15:24,1
"Paleface, The",1922,0,0.0,12543,5361,9838,2014-04-04 15:34,1
Nanook of the North,1922,1,0.0,13427,5901,11169,2014-11-05 7:55,1
Foolish Wives,1922,3,0.0,13140,5958,11308,2014-12-02 11:56,1
"Dr. Mabuse, der Spieler - Ein Bild der Zeit",1922,3,0.0,13086,5967,11326,2014-12-07 19:42,1
Safety Last!,1923,0,0.0,14429,1961,2625,2011-02-04 0:31,1
Why Worry?,1923,0,0.0,14611,1967,2631,2011-02-04 3:26,1
"Silent Command, The",1923,2,0.0,14469,1998,2667,2011-02-06 22:07,1
La souriante Madame Beudet,1923,3,0.0,13626,5888,11144,2014-10-31 12:43,1
Our Hospitality,1923,0,0.0,14341,5949,11275,2014-11-27 9:49,1
A Woman of Paris,1923,2,0.0,14624,8947,17524,2020-01-03 22:10,1
Die Nibelungen,1924,2,0.0,15175,1337,1455,2010-07-26 3:13,1
Kriemhild&#39;s Revenge,1924,2,0.0,15174,1338,1456,2010-07-26 3:16,1
"Thief of Bagdad, The",1924,0,0.0,15400,1264,1365,2010-07-23 0:53,1
Wild Oranges,1924,0,0.0,15498,1960,2624,2011-02-04 0:16,1
"Navigator, The",1924,0,0.0,15163,2009,2686,2011-02-09 1:22,1
Sherlock Jr.,1924,0,0.0,15324,2011,2688,2011-02-09 3:32,1
Girl Shy,1924,0,0.0,14945,2016,2693,2011-02-10 7:09,1
Manhandled,1924,3,0.0,15116,2020,2701,2011-02-11 21:50,1
"Great White Silence, The",1924,0,0.0,1764657,2413,3538,2011-06-18 21:51,1
Help!,1924,0,0.0,13845,6209,11889,2015-04-19 16:58,1
Greed,1924,3,0.0,15881,8458,16549,2018-10-28 18:03,1
"Phantom of the Opera, The",1925,2,0.0,16220,1305,1419,2010-07-25 8:39,1
Battleship Potemkin,1925,0,0.0,15648,1308,1422,2010-07-25 8:46,1
"Gold Rush, The",1925,0,0.0,15864,1309,1423,2010-07-25 8:47,1
Go West,1925,0,0.0,15863,1978,2642,2011-02-04 15:33,1
"Freshman, The",1925,0,0.0,15841,2012,2689,2011-02-09 5:12,1
Seven Chances,1925,0,1.0,16332,3077,4818,2012-02-27 19:13,1
"Lost World, The",1925,2,1.0,16039,5514,10247,2014-05-30 7:47,1
"Big Parade, The",1925,2,0.0,15624,5962,11315,2014-12-04 21:08,1
Stachka,1925,0,0.0,15361,5991,11386,2014-12-18 11:17,1
"Temptress, The",1926,1,0.0,17449,1334,1451,2010-07-26 2:23,1
Flesh and the Devil,1926,1,0.0,16884,1260,1361,2010-07-23 0:49,1
"General, The",1926,0,0.0,17925,1310,1424,2010-07-25 8:49,1
For Heaven&#39;s Sake,1926,0,0.0,16895,1966,2630,2011-02-04 3:19,1
So&#39;s Your Old Man,1926,3,0.0,17410,3217,5108,2012-04-30 13:20,1
Die Abenteuer des Prinzen Achmed,1926,1,0.0,15532,5974,11341,2014-12-09 9:43,1
It,1927,3,0.0,18033,1227,1322,2010-07-22 21:25,1
Metropolis,1927,1,0.0,17136,1267,1368,2010-07-23 0:56,1
Abel Gance&#39;s Napoleon,1927,2,0.0,18192,1312,1426,2010-07-25 8:52,1
"Unknown, The",1927,0,0.0,18528,1311,1425,2010-07-25 8:50,1
Sunrise: A Song of Two Humans,1927,2,0.0,18455,1632,2005,2010-10-04 6:24,1
"Kid Brother, The",1927,0,0.0,18051,1964,2628,2011-02-04 0:45,1
Nevada,1927,0,0.0,18199,1982,2647,2011-02-04 19:53,1
My Best Girl,1927,3,0.0,18183,2010,2687,2011-02-09 2:42,1
Wings,1927,1,0.0,18578,3118,4909,2012-03-14 4:02,1
"Jazz Singer, The",1927,1,0.0,18037,5975,11343,2014-12-09 13:55,1
Downhill [When Boys Leave Home],1927,1,0.0,17825,7324,14304,2016-12-13 12:50,1
"Passion of Joan of Arc, The",1928,0,0.0,19254,1314,1428,2010-07-25 8:56,1
Speedy,1928,0,0.0,19412,1963,2627,2011-02-04 0:43,1
"Circus, The",1928,0,0.0,18773,1968,2632,2011-02-04 3:44,1
"Cameraman, The",1928,0,0.0,18742,1970,2634,2011-02-04 4:02,1
"Steamboat Bill, Jr.",1928,0,0.0,19421,1971,2635,2011-02-04 4:39,1
"Racket, The",1928,0,0.0,19304,1972,2636,2011-02-04 5:01,1
Beggars of Life,1928,0,0.0,18684,1977,2641,2011-02-04 15:19,1
"Power of the Press, The",1928,1,0.0,19290,1979,2643,2011-02-04 16:09,1
A Girl in Every Port,1928,0,0.0,18937,1980,2644,2011-02-04 16:33,1
"Patsy, The",1928,3,0.0,19258,2013,2690,2011-02-09 7:01,1
While the City Sleeps,1928,2,0.0,19571,2017,2698,2011-02-11 21:46,1
"Man Who Laughs, The",1928,2,0.0,19130,2021,2702,2011-02-11 21:51,1
"Crowd, The",1928,1,0.0,18806,5912,11191,2014-11-10 14:45,1
"Docks of New York, The",1928,2,1.0,18839,5984,11367,2014-12-15 14:38,1
Our Dancing Daughters,1928,2,0.0,19237,9314,18390,2020-10-23 3:25,1
Un chien andalou,1929,0,0.0,20530,1313,1427,2010-07-25 8:54,1
"Cocoanuts, The",1929,2,0.0,19777,1953,2617,2011-02-03 17:39,1
Welcome Danger,1929,0,0.0,20572,1962,2626,2011-02-04 0:39,1
Pandora&#39;s Box (Die B&uuml;chse der Pandora),1929,3,1.0,18737,2324,3345,2011-05-21 23:37,1
Man with a Movie Camera,1929,0,0.0,19760,3897,6586,2013-02-14 21:51,1
Blackmail,1929,2,0.0,19702,5979,11354,2014-12-12 19:23,1
Throw of the Dice,1929,0,0.0,20286,6046,11500,2015-01-14 21:00,1
Juno and the Paycock [The Shame of Mary Boyle],1929,3,0.0,21015,7287,14245,2016-11-22 12:03,1
Broadway Melody,1929,3,0.0,19729,8464,16567,2018-11-01 23:24,1
"Blue Angel, The",1930,1,0.0,20697,1315,1429,2010-07-25 8:57,1
All Quiet on the Western Front,1930,0,0.0,20629,1316,1430,2010-07-25 9:00,1
Anna Christie,1930,3,0.0,20641,1326,1443,2010-07-26 2:10,1
Ladies of Leisure,1930,3,0.0,21040,3713,6165,2012-12-06 1:25,1
L&#39;Age d&#39;Or,1930,0,0.0,21577,3871,6527,2013-02-05 10:01,1
Morocco,1930,1,0.0,21156,3865,6508,2013-01-31 3:11,1
Min and Bill,1930,3,0.0,21148,3927,6643,2013-02-22 17:25,1
Be Yourself,1930,2,0.0,20670,4253,7440,2013-06-20 22:04,1
"Bat Whispers, The",1930,3,0.0,20668,6782,13311,2016-03-18 20:50,1
Murder!,1930,3,0.0,21165,7291,14250,2016-11-23 13:56,1
Animal Crackers,1930,3,0.0,20640,8463,16566,2018-11-01 23:19,1
M,1931,3,0.0,22100,610,340,2009-12-28 4:11,1
M&auml;dchen in Uniform,1931,3,0.0,22183,628,360,2009-12-31 10:35,1
Night Nurse,1931,3,0.0,22208,636,374,2010-01-10 15:10,1
Frankenstein,1931,1,0.0,21884,1317,1431,2010-07-25 9:02,1
Anna Christie,1931,3,0.0,20642,1327,1444,2010-07-26 2:13,1
Mata Hari,1931,3,0.0,23196,1333,1450,2010-07-26 2:20,1
Tabu: A Story of the South Seas,1931,0,0.0,22458,1633,2006,2010-10-04 6:26,1
Indiscreet,1931,3,0.0,22000,1828,2326,2010-12-05 19:21,1
"Last Flight, The",1931,0,0.0,22054,1956,2620,2011-02-03 22:56,1
Pardon Us,1931,0,0.0,22251,1974,2638,2011-02-04 5:29,1
Dracula,1931,2,0.0,21814,1985,2651,2011-02-05 1:19,1
Monkey Business,1931,1,0.0,22158,2384,3483,2011-06-10 21:34,1
City Lights,1931,3,0.0,21749,2705,4074,2011-09-23 17:50,1
"Smiling Lieutenant, The",1931,2,0.0,22074,4243,7400,2013-06-14 20:15,1
"Cheat, The",1931,3,1.0,21735,5741,10813,2014-09-14 1:27,1
"Public Enemy, The",1931,3,1.0,22286,5934,11242,2014-11-21 16:07,1
La Chienne,1931,3,0.0,21739,6030,11469,2015-01-08 8:31,1
A Nous la Liberte,1931,1,0.0,22599,6031,11470,2015-01-08 11:25,1
Little Caesar,1931,1,0.0,21079,6043,11496,2015-01-13 13:26,1
"Skin Game, The",1931,3,0.0,22395,7294,14255,2016-11-24 15:35,1
Rich and Strange [East of Shanghai],1931,2,0.0,23395,7296,14257,2016-11-25 10:24,1
Dracula,1931,3,0.0,21815,8213,16086,2018-05-16 13:38,1
Cimarron,1931,3,0.0,21746,8467,16572,2018-11-02 23:39,1
Hyppolit a lakaj,1931,1,0.0,21985,8557,16716,2018-12-14 23:59,1
Skippy,1931,3,1.0,22397,9095,17919,2020-04-27 15:19,1
"Champ, The",1931,1,0.0,21730,9110,17959,2020-05-03 16:23,1
I Am a Fugitive from a Chain Gang,1932,1,0.0,23042,1318,1432,2010-07-25 9:04,1
Grand Hotel,1932,3,0.0,22958,1328,1445,2010-07-26 2:15,1
"Age of Consent, The",1932,2,0.0,22614,1983,2648,2011-02-04 20:30,1
Horse Feathers,1932,1,0.0,23027,2383,3482,2011-06-10 21:34,1
White Zombie,1932,0,0.0,23694,2550,3794,2011-07-19 0:42,1
Boudu Saved from Drowning,1932,1,0.0,22718,2767,4181,2011-10-15 19:54,1
"I Was Born, But...",1932,1,0.0,23634,3530,5780,2012-09-15 21:07,1
"Most Dangerous Game, The",1932,0,0.0,23238,3658,6039,2012-11-05 15:07,1
Freaks,1932,2,0.0,22913,3659,6040,2012-11-05 18:09,1
Island of Lost Souls,1932,1,0.0,24188,3844,6439,2013-01-20 12:01,1
"Old Dark House, The",1932,3,0.0,23293,4775,8611,2013-11-04 1:52,1
Merrily We Go to Hell,1932,3,1.0,23213,5742,10814,2014-09-14 1:57,1
"Girl from Calgary, The",1932,2,0.0,22940,5783,10916,2014-09-26 19:05,1
Vampyr,1932,3,0.0,23649,5910,11187,2014-11-09 15:43,1
Shanghai Express,1932,3,0.0,23458,5929,11234,2014-11-19 21:25,1
Three on a Match,1932,3,0.0,23590,6051,11519,2015-01-18 1:53,1
Love Me Tonight,1932,2,1.0,23158,6052,11521,2015-01-18 9:53,1
Scarface,1932,1,0.0,23427,6063,11541,2015-01-25 12:00,1
Red-Headed Woman,1932,3,0.0,23385,6092,11586,2015-02-03 4:25,1
"Death Kiss, The",1932,1,0.0,23935,6176,11817,2015-03-30 0:15,1
Thirteen Women,1932,3,0.0,23582,6852,13457,2016-04-25 17:13,1
"Blue Light (Das Blaue Licht), The",1932,1,0.0,22694,6990,13748,2016-07-21 23:17,1
Number 17,1932,0,0.0,23285,7301,14262,2016-11-28 9:19,1
Footlight Parade,1933,3,0.0,24028,802,611,2010-05-13 19:56,1
Queen Christina,1933,3,0.0,24481,1330,1447,2010-07-26 2:17,1
"Private Life of Henry VIII., The",1933,1,0.0,24473,1248,1349,2010-07-23 0:19,1
King Kong,1933,0,0.0,24216,2229,3118,2011-04-23 19:11,1
Little Women,1933,3,0.0,24264,2231,3120,2011-04-23 19:16,1
Alice in Wonderland,1933,3,0.0,23753,3188,5053,2012-04-16 16:01,1
"Vampire Bat, The",1933,3,0.0,24727,3210,5101,2012-04-30 4:30,1
42nd Street,1933,3,1.0,24034,4335,7687,2013-07-12 9:28,1
Day of Reckoning,1933,3,0.0,23932,5029,9095,2014-01-02 21:16,1
Duck Soup,1933,1,0.0,23969,5185,9491,2014-02-19 17:52,1
Tomorrow at Seven,1933,3,1.0,24679,5752,10833,2014-09-16 22:23,1
Gold Diggers of 1933,1933,3,0.0,24069,5916,11202,2014-11-12 9:50,1
Female,1933,3,0.0,24008,6056,11525,2015-01-19 4:26,1
A Study in Scarlet,1933,3,1.0,24625,6193,11853,2015-04-08 22:45,1
"Peanut Vendor, The",1933,0,0.0,24432,6205,11880,2015-04-16 0:33,1
"Invisible Man, The",1933,1,0.0,24184,7450,14537,2017-02-16 15:47,1
Baby Face,1933,3,0.0,23775,7528,14698,2017-03-24 0:09,1
Design for Living,1933,1,0.0,23940,8346,16336,2018-07-28 6:08,1
Cavalcade,1933,3,0.0,23876,8477,16587,2018-11-06 19:04,1
It Happened One Night,1934,3,0.0,25316,621,352,2009-12-28 23:20,1
"Cat&#39;s-Paw, The",1934,1,0.0,24961,1324,1441,2010-07-26 2:06,1
"Scarlet Empress, The",1934,3,0.0,25746,1325,1442,2010-07-26 2:08,1
"Painted Veil, The",1934,1,0.0,25617,1329,1446,2010-07-26 2:16,1
"Count of Monte Cristo, The",1934,1,0.0,25004,1246,1347,2010-07-23 0:14,1
Cleopatra,1934,1,0.0,24991,1270,1372,2010-07-23 1:02,1
Of Human Bondage,1934,1,0.0,25586,1379,1500,2010-07-27 5:38,1
L&#39;atalante,1934,0,0.0,24844,1795,2289,2010-11-30 23:36,1
"Lost Patrol, The",1934,0,0.0,25423,1969,2633,2011-02-04 3:56,1
Spitfire,1934,3,0.0,25822,4443,7958,2013-08-05 14:41,1
Maniac,1934,3,0.0,25465,4702,8486,2013-10-17 1:01,1
Anne of Green Gables,1934,3,0.0,24831,5319,9747,2014-03-24 16:49,1
Lost in the Stratosphere,1934,2,0.0,25424,5523,10272,2014-06-02 8:58,1
Search for Beauty,1934,3,0.0,25755,5821,11007,2014-10-08 23:14,1
